iter	Passed	Remaining
0	188	188315
1	212	105865
2	250	83360
3	265	66079
4	282	56147
5	294	48798
6	306	43514
7	319	39588
8	327	36084
9	342	33860
10	353	31825
11	366	30181
12	392	29772
13	416	29324
14	434	28534
15	469	28864
16	487	28186
17	509	27775
18	530	27379
19	555	27196
20	571	26626
21	588	26171
22	604	25688
23	617	25119
24	649	25347
25	704	26394
26	722	26033
27	730	25358
28	743	24891
29	755	24426
30	763	23863
31	775	23470
32	787	23070
33	796	22637
34	811	22371
35	821	22009
36	831	21636
37	840	21267
38	850	20962
39	859	20620
40	873	20424
41	898	20501
42	926	20624
43	951	20664
44	965	20487
45	983	20392
46	998	20239
47	1009	20024
48	1025	19904
49	1040	19775
50	1053	19609
51	1067	19452
52	1079	19286
53	1090	19109
54	1116	19184
55	1130	19063
56	1144	18938
57	1155	18765
58	1163	18562
59	1175	18415
60	1186	18266
61	1195	18079
62	1205	17936
63	1241	18151
64	1255	18064
65	1265	17902
66	1278	17806
67	1310	17963
68	1323	17859
69	1334	17729
70	1345	17601
71	1358	17506
72	1369	17386
73	1377	17237
74	1389	17141
75	1401	17037
76	1410	16905
77	1423	16826
78	1435	16737
79	1443	16603
80	1455	16514
81	1467	16424
82	1475	16301
83	1488	16231
84	1499	16137
85	1507	16021
86	1519	15946
87	1531	15872
88	1540	15769
89	1555	15732
90	1583	15819
91	1592	15713
92	1603	15633
93	1614	15561
94	1624	15471
95	1634	15395
96	1644	15311
97	1653	15214
98	1663	15140
99	1671	15041
100	1681	14968
101	1689	14872
102	1699	14798
103	1711	14743
104	1720	14661
105	1732	14614
106	1742	14542
107	1751	14468
108	1762	14407
109	1772	14339
110	1783	14284
111	1794	14226
112	1802	14148
113	1812	14089
114	1820	14013
115	1833	13970
116	1844	13916
117	1852	13846
118	1862	13790
119	1870	13717
120	1880	13663
121	1890	13608
122	1899	13540
123	1918	13556
124	1931	13520
125	1942	13473
126	1952	13423
127	1962	13372
128	1974	13330
129	1986	13293
130	2008	13325
131	2026	13322
132	2034	13260
133	2046	13223
134	2056	13179
135	2064	13116
136	2075	13074
137	2084	13017
138	2094	12974
139	2105	12934
140	2115	12888
141	2144	12954
142	2154	12913
143	2165	12872
144	2180	12859
145	2197	12851
146	2215	12856
147	2231	12848
148	2246	12828
149	2261	12813
150	2274	12786
151	2285	12748
152	2297	12719
153	2308	12682
154	2319	12645
155	2347	12700
156	2359	12668
157	2369	12627
158	2377	12574
159	2388	12537
160	2396	12486
161	2407	12451
162	2419	12425
163	2427	12376
164	2441	12353
165	2457	12348
166	2486	12401
167	2561	12685
168	2589	12733
169	2606	12726
170	2623	12717
171	2640	12709
172	2655	12694
173	2670	12678
174	2685	12658
175	2742	12841
176	2773	12894
177	2795	12907
178	2811	12894
179	2826	12874
180	2841	12856
181	2852	12822
182	2863	12782
183	2871	12733
184	2883	12702
185	2915	12759
186	2934	12757
187	2953	12757
188	2972	12754
189	2989	12746
190	3005	12728
191	3019	12708
192	3034	12689
193	3049	12670
194	3064	12652
195	3100	12716
196	3113	12690
197	3121	12642
198	3132	12609
199	3143	12575
200	3151	12529
201	3164	12501
202	3172	12455
203	3182	12417
204	3193	12385
205	3202	12344
206	3213	12309
207	3221	12267
208	3230	12225
209	3255	12246
210	3263	12205
211	3274	12170
212	3282	12127
213	3294	12100
214	3305	12067
215	3313	12028
216	3324	11994
217	3332	11954
218	3343	11924
219	3355	11895
220	3365	11861
221	3380	11845
222	3395	11830
223	3424	11862
224	3436	11837
225	3447	11807
226	3462	11789
227	3475	11766
228	3494	11765
229	3508	11746
230	3522	11726
231	3530	11688
232	3542	11661
233	3555	11638
234	3576	11642
235	3586	11610
236	3594	11573
237	3606	11545
238	3615	11512
239	3625	11480
240	3635	11450
241	3643	11412
242	3653	11381
243	3661	11344
244	3672	11317
245	3683	11290
246	3691	11253
247	3703	11231
248	3716	11208
249	3763	11290
250	3784	11294
251	3802	11287
252	3820	11281
253	3839	11275
254	3855	11264
255	3870	11249
256	3883	11228
257	3891	11192
258	3906	11175
259	3919	11156
260	3936	11145
261	3974	11196
262	3992	11186
263	4006	11169
264	4020	11150
265	4046	11164
266	4061	11151
267	4073	11124
268	4088	11110
269	4106	11102
270	4130	11110
271	4146	11099
272	4164	11089
273	4179	11075
274	4214	11112
275	4229	11095
276	4245	11080
277	4255	11050
278	4269	11034
279	4287	11024
280	4304	11013
281	4320	10999
282	4348	11017
283	4386	11058
284	4403	11046
285	4426	11049
286	4443	11038
287	4460	11027
288	4480	11022
289	4496	11009
290	4512	10994
291	4528	10980
292	4563	11011
293	4577	10991
294	4589	10968
295	4598	10936
296	4612	10917
297	4625	10897
298	4639	10878
299	4659	10872
300	4676	10859
301	4692	10846
302	4713	10842
303	4731	10832
304	4746	10816
305	4763	10802
306	4780	10791
307	4806	10798
308	4829	10799
309	4843	10781
310	4858	10763
311	4871	10741
312	4885	10722
313	4897	10698
314	4909	10676
315	4920	10650
316	4933	10630
317	4950	10616
318	4974	10619
319	5006	10639
320	5041	10664
321	5075	10686
322	5094	10678
323	5119	10682
324	5133	10662
325	5142	10632
326	5156	10612
327	5170	10592
328	5184	10573
329	5199	10556
330	5208	10527
331	5223	10509
332	5265	10547
333	5274	10517
334	5288	10497
335	5305	10485
336	5321	10470
337	5336	10452
338	5351	10434
339	5367	10419
340	5384	10405
341	5430	10448
342	5442	10425
343	5455	10403
344	5469	10384
345	5483	10364
346	5496	10343
347	5508	10320
348	5519	10295
349	5532	10274
350	5547	10257
351	5562	10240
352	5571	10212
353	5614	10246
354	5629	10228
355	5644	10210
356	5653	10182
357	5668	10164
358	5682	10146
359	5696	10127
360	5711	10110
361	5727	10093
362	5763	10113
363	5779	10097
364	5791	10076
365	5802	10050
366	5815	10030
367	5828	10009
368	5839	9985
369	5849	9960
370	5860	9936
371	5873	9914
372	5882	9888
373	5923	9915
374	5944	9906
375	5960	9891
376	5978	9880
377	5997	9868
378	6014	9855
379	6040	9855
380	6062	9848
381	6112	9889
382	6139	9890
383	6161	9884
384	6186	9882
385	6205	9870
386	6222	9856
387	6236	9836
388	6249	9815
389	6275	9815
390	6289	9796
391	6308	9783
392	6324	9768
393	6339	9750
394	6353	9731
395	6367	9712
396	6381	9692
397	6395	9673
398	6409	9654
399	6439	9659
400	6452	9638
401	6472	9628
402	6489	9613
403	6505	9596
404	6522	9583
405	6537	9564
406	6552	9546
407	6564	9524
408	6592	9525
409	6606	9506
410	6620	9488
411	6635	9469
